Ind	pop	HybClass_LDjacea	PC1_morpho	PC2_morpho	PC1	PC2	GenSize
CO.1	CO	jacea	-0.955201209036873	-0.832006066315712	-0.361696289	1.437756759	1.936666667
DF.1	DF	jacea	0.43239621328743	1.67644362313519	-4.262183818	-2.59363037	NA
FL.1	FL	BC2_jacea	-0.801917253544127	1.17910361866379	0.086863542	4.23331358	1.923333333
FP.1	FP	jacea	-1.15989624967067	0.34014806512828	-0.72743493	4.113498708	1.9025
HV.1	HV	jacea	-2.4424607511357	0.387425590994629	-2.627479134	0.717633966	1.886666667
JV.1	JV	BC2_jacea	0.605220915175031	0.675080095062971	1.089806377	1.027725707	1.87
LH.1	LH	BC1_jacea	1.04294660009641	-0.854074127127224	1.246364715	5.208004082	1.91
RM.1	RM	jacea	-1.61141617441298	0.650035388098657	-6.107388914	-2.453672057	NA
SP.1	SP	F2	1.42567515942623	-0.508321233185311	1.67297836	-1.390003852	NA
CB.10	CB	BC2_jacea	2.17379518418666	0.0837326888926609	1.730346415	4.816691975	NA
DF.10	DF	jacea	-0.11134991461314	1.45124862618869	-5.192381918	-2.258842156	1.895
LH.10	LH	BC2_jacea	2.10445587375339	1.30317431180718	1.83178911	4.28307531	1.895
MC.10	MC	BC2_jacea	1.23814622075503	0.840663905403165	0.41647037	5.488336901	NA
MP.10	MP	BC2_nigra	-1.47484676211508	-0.0172154743280716	7.921201671	-3.23110033	NA
WV.10	WV	nigra	2.23512534757923	0.319796329194139	7.825869881	-2.418975571	1.963333333
TH.10B	TH	nigra	1.84989264035935	-0.278976829816402	7.05539471	-2.271520751	1.96
CB.11	CB	jacea	0.428488029303411	-0.852922726927819	0.798076909	3.291987174	NA
CH.11	CH	jacea	-0.357949468987809	1.37858398517404	-2.670083002	-1.27165421	NA
CO.11	CO	BC1_jacea	0.257185901004809	-0.80391889780388	0.958998567	2.723519544	1.965
HV.11	HV	jacea	-2.51594035363208	0.113865845982722	-1.668987608	-0.716610328	1.883333333
JF.11	JF	nigra	0.9935393373373	-0.675391443942824	8.401581548	-4.040078121	1.99
JV.11	JV	jacea	1.10406625423226	-1.01622293527146	-0.563048626	3.694857563	NA
MC.11	MC	BC2_jacea	0.609421789389987	0.739343102981676	1.062734934	5.124073445	NA
WR.11	WR	F2	1.1576739074591	-0.75841763880148	1.725038746	-2.528979497	NA
WV.11	WV	nigra	1.54825841703929	-0.160082776184153	6.841638696	-2.103450004	1.95
TH.11B	TH	nigra	1.71768439959295	-0.119164310744203	8.455699277	-4.729697646	NA
CB.12	CB	BC2_jacea	0.892405225999208	-0.566840245139727	1.342553158	5.153078123	1.906666667
JV.12	JV	jacea	-0.287025268361744	0.495446033450694	-0.218953973	3.784359438	1.89
MC.12	MC	BC2_jacea	0.470921074345159	0.464875493218359	0.061353118	4.452714909	NA
PR.12	PR	jacea	-1.49831338337474	0.702751697247003	-4.679393504	-2.715214883	1.896666667
CB.13	CB	F2	1.2555896639057	-0.434369853921671	2.051686167	4.412019429	NA
JV.13	JV	jacea	0.295949638141246	-0.696872591126538	-0.088468782	3.389267413	1.9
