Ind	pop	HybClass_LDnigra	PC1_morpho	PC2_morpho	PC1	PC2	GenSize
CO.1	CO	F2	-0.955201209	-0.832006066	-0.361696289	1.437756759	1.936666667
DF.1	DF	jacea	0.432396213	1.676443623	-4.262183818	-2.59363037	NA
FL.1	FL	F2	-0.801917254	1.179103619	0.086863542	4.23331358	1.923333333
FP.1	FP	F2	-1.15989625	0.340148065	-0.72743493	4.113498708	1.9025
HV.1	HV	jacea	-2.442460751	0.387425591	-2.627479134	0.717633966	1.886666667
JV.1	JV	F2	0.605220915	0.675080095	1.089806377	1.027725707	1.87
LH.1	LH	F2	1.0429466	-0.854074127	1.246364715	5.208004082	1.91
RM.1	RM	jacea	-1.611416174	0.650035388	-6.107388914	-2.453672057	NA
SP.1	SP	F2	1.425675159	-0.508321233	1.67297836	-1.390003852	NA
CB.10	CB	F2	2.173795184	0.083732689	1.730346415	4.816691975	NA
DF.10	DF	jacea	-0.111349915	1.451248626	-5.192381918	-2.258842156	1.895
LH.10	LH	F2	2.104455874	1.303174312	1.83178911	4.28307531	1.895
MC.10	MC	F2	1.238146221	0.840663905	0.41647037	5.488336901	NA
MP.10	MP	nigra	-1.474846762	-0.017215474	7.921201671	-3.23110033	NA
WV.10	WV	nigra	2.235125348	0.319796329	7.825869881	-2.418975571	1.963333333
TH.10B	TH	nigra	1.84989264	-0.27897683	7.05539471	-2.271520751	1.96
CB.11	CB	F2	0.428488029	-0.852922727	0.798076909	3.291987174	NA
CH.11	CH	jacea	-0.357949469	1.378583985	-2.670083002	-1.27165421	NA
CO.11	CO	BC1_jacea	0.257185901	-0.803918898	0.958998567	2.723519544	1.965
HV.11	HV	BC2_jacea	-2.515940354	0.113865846	-1.668987608	-0.716610328	1.883333333
JF.11	JF	nigra	0.993539337	-0.675391444	8.401581548	-4.040078121	1.99
JV.11	JV	F2	1.104066254	-1.016222935	-0.563048626	3.694857563	NA
MC.11	MC	F2	0.609421789	0.739343103	1.062734934	5.124073445	NA
WR.11	WR	F2	1.157673907	-0.758417639	1.725038746	-2.528979497	NA
WV.11	WV	nigra	1.548258417	-0.160082776	6.841638696	-2.103450004	1.95
TH.11B	TH	nigra	1.7176844	-0.119164311	8.455699277	-4.729697646	NA
CB.12	CB	BC1_jacea	0.892405226	-0.566840245	1.342553158	5.153078123	1.906666667
JV.12	JV	BC1_jacea	-0.287025268	0.495446033	-0.218953973	3.784359438	1.89
MC.12	MC	F2	0.470921074	0.464875493	0.061353118	4.452714909	NA
PR.12	PR	jacea	-1.498313383	0.702751697	-4.679393504	-2.715214883	1.896666667
CB.13	CB	F2	1.255589664	-0.434369854	2.051686167	4.412019429	NA
JV.13	JV	F2	0.295949638	-0.696872591	-0.088468782	3.389267413	1.9
LH.13	LH	F2	0.741008994	-0.91542468	0.923243489	2.819003291	1.906666667
MC.13	MC	F2	1.553052556	0.835686042	0.36184345	2.253330096	1.92
CB.14	CB	F2	2.163175209	0.126289772	3.037428225	3.631720037	1.946666667
FC.14	FC	BC2_jacea	-0.68385899	1.180242203	-4.621775757	-1.080792545	NA
LH.14	LH	F2	-0.296804991	0.685014342	0.204078821	3.987187082	NA
MC.14	MC	BC1_jacea	0.865071687	0.560685564	-0.060056703	5.720597527	1.945
MP.14	MP	nigra	1.064402117	0.049400734	6.036065044	-4.347925041	2.18
SH.14	SH	BC2_jacea	-0.982479911	-0.339738901	-4.194461763	-2.888304451	1.893333333
SP.14	SP	F2	1.072441102	-1.127262795	-1.141351656	-2.181663731	NA
TH.14B	TH	nigra	1.731692133	-0.12348355	5.60086142	-3.688789621	1.96
CB.15	CB	F2	1.601757566	-0.288254857	0.957027617	1.967126593	NA
JV.15	JV	F2	-1.374070153	-0.186928398	0.102866684	1.872873513	NA
RM.15	RM	jacea	-1.439532974	0.85051598	-3.70086039	-0.841861542	1.88
TH.15B	TH	nigra	0.786676157	-0.297245629	9.256396888	-4.219660435	1.95
CB.16	CB	F2	1.519682468	0.228295582	0.903750851	4.03577011	NA
TH.16B	TH	nigra	0.820879602	-0.643917064	6.661462173	-3.365352173	NA
CB.17	CB	F2	2.854131959	0.479162168	2.510293945	3.997512003	NA
CH.17	CH	jacea	0.095003992	1.517124181	-4.780358129	-1.313795135	1.89
JV.17	JV	F2	-0.537597675	0.132078001	0.077998947	3.882434094	NA
WR.17	WR	F2	0.249014882	-1.245271377	0.691945264	-2.101076765	1.883333333
TH.17B	TH	nigra	0.627416905	-0.214260244	7.363954994	-4.091981872	NA
CB.18	CB	F2	-0.436151683	-0.169031428	1.661748295	5.009325807	NA
LH.18	LH	BC1_jacea	-0.946977762	-0.494890536	1.648477071	5.883415885	NA
PR.18	PR	jacea	-1.383666036	0.875968015	-3.569318383	-1.729918393	NA
SP.18	SP	F2	1.19608403	-0.903214205	2.644929115	-1.184531336	1.886666667
CB.19	CB	F2	-0.475676589	-0.768679653	0.61520221	2.741207964	NA
LH.19	LH	F2	-1.053925634	-0.501913537	0.147176623	4.599207911	NA
SP.1B	SP	F2	0.127850371	-0.162474252	3.446152342	-2.674893052	NA
CO.2	CO	BC1_jacea	0.619143567	-0.247037225	0.282444986	3.021497492	1.993333333
FL.2	FL	F2	-1.709003323	0.247644082	0.205514321	1.982671861	1.906666667
FP.2	FP	F2	-1.400668877	0.885325304	-0.65607228	4.737611708	1.883333333
MP.2	MP	nigra	0.976557767	-0.086586877	5.237562949	-2.287020664	1.936666667
SH.2	SH	jacea	-1.34110419	0.858904032	-5.678192426	-2.942160537	NA
WR.2	WR	jacea	-0.974996727	0.163296967	-3.938514933	-2.308683301	NA
CB.20	CB	F2	1.415538827	-0.585623401	0.271182714	1.726646073	NA
HV.20	HV	BC2_jacea	-1.726431807	0.753910519	-3.454929466	0.007425077	1.9125
JV.20	JV	F2	0.399338309	0.796788375	-0.934951194	3.31989169	NA
MC.20	MC	F2	2.369674361	2.049866332	0.627315121	4.965122546	NA
PR.20	PR	nigra	-1.899986179	0.598428892	7.416010688	-2.560307082	1.88
SP.20	SP	F2	0.243648669	-1.126720899	1.525688357	-0.860091327	1.873333333
WV.20	WV	nigra	0.638172097	-0.782921236	7.850570913	-2.615219025	NA
TH.20B	TH	nigra	1.425869967	-0.243025008	4.452228169	-2.067037906	NA
JF.21	JF	nigra	0.362458904	-0.381637233	5.500902151	-3.234744381	2.06
FC.22	FC	jacea	-0.747640372	1.146864079	-5.53239875	-1.790432917	NA
DF.25	DF	jacea	-0.11972513	1.361017537	-5.256924321	-2.134207011	NA
SH.26	SH	BC2_jacea	-1.320062988	0.896857274	-3.11663696	-2.7331141	1.9
CB.3	CB	F2	1.563023276	-0.276102494	2.296569511	2.963952559	NA
CH.3	CH	F2	-1.57493295	1.013534249	-2.09986077	-1.722895309	NA
CO.3	CO	F2	1.059204471	-0.330505878	-0.151749668	3.153466335	NA
FC.3	FC	BC2_jacea	0.453587472	1.70458892	-3.575190949	-2.905530181	NA
FP.3	FP	F2	1.794316605	1.028022186	-0.444941005	4.689047852	1.906666667
JV.3	JV	F2	0.088921543	-0.10774737	-0.710233819	3.041626635	1.916666667
LH.3	LH	F2	-0.858460896	-0.142326682	0.520281894	6.369678946	1.926666667
MC.3	MC	F2	2.12273871	2.145294498	0.762504926	1.450040776	1.893333333
PR.3	PR	jacea	-1.175288183	0.925268554	-4.08623537	-1.620003364	1.896666667
WR.3	WR	F2	-0.523926196	-1.462166437	2.701750735	-2.460354717	NA
SP.3B	SP	F2	0.985044296	-1.015894487	2.693029505	-1.900571322	NA
CO.4	CO	BC2_jacea	0.643044353	-0.622682436	-0.858756306	2.588712958	1.942
FL.4	FL	F2	-2.245387011	0.542249972	0.00300111	1.380097868	1.9
FP.4	FP	F2	-2.126961037	0.499579068	0.020605175	1.854490371	NA
HV.4	HV	jacea	-1.111891426	0.949164525	-5.874827602	-2.726243499	1.883333333
