Pop	IndID	Cap	Brac_RowNr	SerBrac_RowNr	Brac_appress	Brac_Col	SerBrac_yes_no	Brac_Len	Brac_Wid	BracApCen_Len	BracApCen_Wid	pop_ind_cap	Cap_Len	Cap_Wid	Perc_SerBrac	Cap_Ratio	Brac_Ratio	ApCen_Ratio	relWid_BracApCen	relLen_BracApCen	taxon	pop_ind
CH	3	1	8	0	1	2	no	233.65	61.85	71.78	46.84	CH.3.1	13.75	11.875	0	0.863636363636364	0.264712176332121	0.652549456673168	0.757316087308003	0.30721164134389	jacea	CH.3
CH	11	1	6	0	2	2	no	171.98	105.22	83.6	53.94	CH.11.1	12.5	15.625	0	1.25	0.611815327363647	0.645215311004785	0.512640182474815	0.486103035236655	jacea	CH.11
CH	17	1	8	0	1	1	no	200.49	82.98	58.55	39.12	CH.17.1	11.66666667	10.20833333	0	0.874999999464286	0.413885979350591	0.668146883005978	0.471438900939985	0.292034515437179	jacea	CH.17
CH	17	2	9	0	1	1	no	184.88	84.9	51.89	31.78	CH.17.2	12.70833333	11.45833333	0	0.901639344236496	0.459216789268715	0.612449412218154	0.37432273262662	0.280668541756815	jacea	CH.17
DF	1	1	7	0	1	2	no	214.45	97.42	63.25	37.36	DF.1.1	14.89361702	13.19148936	0	0.885714285675918	0.454278386570296	0.590671936758893	0.383494149045371	0.294940545581721	jacea	DF.1
DF	10	1	8	0	1	2	no	230.71	81.01	60.01	34.48	DF.10.1	14.46808511	14.04255319	0	0.970588234948529	0.351133457587447	0.574570904849192	0.425626465868411	0.260110094924364	jacea	DF.10
DF	10	2	7	0	1	2	no	214.08	102.18	71.34	51.01	DF.10.2	14.68085106	12.76595745	0	0.869565217835539	0.477298206278027	0.715026633024951	0.499217067919358	0.333239910313901	jacea	DF.10
DF	25	1	7	0	1	1	no	248.87	125.16	62.17	38.64	DF.25.1	14.68085106	13.61702128	0	0.927536232357908	0.502913167517178	0.621521634228728	0.308724832214765	0.249809137300599	jacea	DF.25
DF	25	2	6	0	1	1	no	301.1	98.33	64.63	52.47	DF.25.2	15.53191489	12.12765957	0	0.780821917702383	0.326569246097642	0.811852081076899	0.533611308857927	0.214646296911325	jacea	DF.25
FC	3	1	7	0	1	2	no	291.03	94.05	64.03	36.67	FC.3.1	14.16666667	12.91666667	0	0.911764705903114	0.323162560560767	0.572700296735905	0.38989898989899	0.220011682644401	jacea	FC.3
FC	14	1	8	0	1	2	no	231.37	104.04	75.43	55.03	FC.14.1	13.75	13.125	0	0.954545454545455	0.449669360764144	0.729550576693623	0.528931180315263	0.326014608635519	jacea	FC.14
FC	22	1	6	0	1	2	no	212.02	93.43	72.25	57.22	FC.22.1	12.29166667	11.04166667	0	0.898305084773341	0.440665974908028	0.7919723183391	0.612437118698491	0.340769738703896	jacea	FC.22
FC	22	2	7	0	1	1	no	210.94	81.05	53.6	37.05	FC.22.2	11.875	10	0	0.842105263157895	0.38423248317057	0.691231343283582	0.45712523133868	0.254100692139945	jacea	FC.22
HV	1	1	7	0	1	2	no	187.36	111	85.33	91.08	HV.1.1	12.55319149	9.574468085	0	0.762711864359523	0.592442356959863	1.06738544474394	0.82054054054054	0.455433390264731	jacea	HV.1
HV	1	2	9	0	1	2	no	210.69	65.31	52.77	44.72	HV.1.2	12.9787234	10	0	0.770491803531309	0.309981489391998	0.847451203335228	0.684734343898331	0.250462765200057	jacea	HV.1
HV	4	1	7	0	2	2	no	232.22	87.21	58.14	50.02	HV.4.1	14.25531915	13.19148936	0	0.925373134139898	0.375549048316252	0.860337117303062	0.573558078202041	0.250366032210835	jacea	HV.4
HV	4	2	6	0	3	2	no	290.06	112.45	80.96	62.51	HV.4.2	17.23404255	14.68085106	0	0.85185185178738	0.387678411363166	0.772109683794466	0.555891507336594	0.279114665931187	jacea	HV.4
HV	8	1	6	0	2	2	no	240.13	105.39	64.76	83.29	HV.8.1	11.4893617	13.19148936	0	1.14814814821262	0.438887269395744	1.2861334156887	0.790302685264257	0.2696872527381	jacea	HV.8
HV	8	2	5	0	2	1	no	241.92	111.4	88.77	81.25	HV.8.2	11.27659574	14.25531915	0	1.26415094401531	0.460482804232804	0.915286695955841	0.72935368043088	0.366939484126984	jacea	HV.8
HV	11	1	5	0	1	1	no	199.85	126.92	75.69	78.77	HV.11.1	12.76595745	13.68085106	0	1.07166666609875	0.635076307230423	1.0406922975294	0.620627166719193	0.378734050537903	jacea	HV.11
HV	11	2	9	1	1	1	no	231.81	102.59	82.49	86.15	HV.11.2	14.46808511	11.91489362	11.1111111111111	0.823529411764706	0.442560717829257	1.04436901442599	0.839750463008091	0.355851775160692	jacea	HV.11
HV	20	1	8	0	2	3	no	243.02	87.21	78.41	61.01	HV.20.1	NA	NA	0	NA	0.358859353139659	0.778089529396761	0.69957573672744	0.322648341700272	jacea	HV.20
HV	20	2	7	0	1	3	no	252.2	81.06	61.4	54.01	HV.20.2	NA	NA	0	NA	0.321411578112609	0.879641693811075	0.666296570441648	0.243457573354481	jacea	HV.20
PR	3	1	6	0	2	2	no	203.85	102.08	77.32	62.8	PR.3.1	13.40425532	12.34042553	0	0.92063492043361	0.500760363012019	0.812209001551992	0.615203761755486	0.379298503801815	jacea	PR.3
