Ind	Taxon Admixture	HybClass_LDjacea	HybClass_LDnigra	Pectinate bract rows (%)	Appendage center width/length	Rel. width appendage center
CH.3	jacea	jacea	F2	0	0.652549457	0.757316087
CH.11	jacea	jacea	jacea	0	0.645215311	0.512640182
CH.17	jacea	jacea	jacea	0	0.668146883	0.471438901
CH.17	jacea	jacea	jacea	0	0.612449412	0.374322733
DF.1	jacea	jacea	jacea	0	0.590671937	0.383494149
DF.10	jacea	jacea	jacea	0	0.574570905	0.425626466
DF.10	jacea	jacea	jacea	0	0.715026633	0.499217068
DF.25	jacea	jacea	jacea	0	0.621521634	0.308724832
DF.25	jacea	jacea	jacea	0	0.811852081	0.533611309
FC.3	jacea	jacea	BC2_jacea	0	0.572700297	0.38989899
FC.14	jacea	jacea	BC2_jacea	0	0.729550577	0.52893118
FC.22	jacea	jacea	jacea	0	0.791972318	0.612437119
FC.22	jacea	jacea	jacea	0	0.691231343	0.457125231
HV.1	jacea	jacea	jacea	0	1.067385445	0.820540541
HV.1	jacea	jacea	jacea	0	0.847451203	0.684734344
HV.4	jacea	jacea	jacea	0	0.860337117	0.573558078
HV.4	jacea	jacea	jacea	0	0.772109684	0.555891507
HV.8	jacea	jacea	jacea	0	1.286133416	0.790302685
HV.8	jacea	jacea	jacea	0	0.915286696	0.72935368
HV.11	jacea	jacea	BC2_jacea	0	1.040692298	0.620627167
HV.11	jacea	jacea	BC2_jacea	11.11111111	1.044369014	0.839750463
HV.20	jacea	jacea	BC2_jacea	0	0.778089529	0.699575737
HV.20	jacea	jacea	BC2_jacea	0	0.879641694	0.66629657
PR.3	jacea	jacea	jacea	0	0.812209002	0.615203762
PR.3	jacea	jacea	jacea	0	0.828993762	0.534961057
PR.4	jacea	jacea	jacea	0	1.048028942	0.636342978
PR.4	jacea	jacea	jacea	0	0.717849613	0.525057826
PR.12	jacea	jacea	jacea	0	0.872228989	0.513849024
PR.12	jacea	jacea	jacea	0	0.978623147	0.643224052
PR.18	jacea	jacea	jacea	0	0.852152642	0.685208497
PR.18	jacea	jacea	jacea	0	0.769933049	0.561673031
RM.1	jacea	jacea	jacea	0	0.887955488	0.576538925
RM.1	jacea	jacea	jacea	0	0.995035614	0.607618294
RM.15	jacea	jacea	jacea	0	0.818499534	0.630417227
RM.54	jacea	jacea	jacea	0	0.818497758	0.578801332
RM.54	jacea	jacea	jacea	0	0.82288455	0.65183175
SH.2	jacea	jacea	jacea	0	0.779578606	0.610212496
SH.2	jacea	jacea	jacea	0	0.890854392	0.590350877
SH.14	jacea	jacea	BC2_jacea	42.85714286	0.908487204	0.608945826
SH.14	jacea	jacea	BC2_jacea	50	0.869433338	0.60431241
SH.26	jacea	jacea	BC2_jacea	0	0.782804893	0.63703131
SH.26	jacea	jacea	BC2_jacea	0	0.835548415	0.586047941
WR.2	jacea	jacea	jacea	0	0.666628374	0.610713534
WR.2	jacea	jacea	jacea	0	0.816234353	0.659541189
JF.11	nigra	nigra	nigra	88.88888889	0.717915539	0.363230568
JF.11	nigra	nigra	nigra	88.88888889	0.702447994	0.459548872
JF.21	nigra	nigra	nigra	62.5	0.647058824	0.37658206
JF.21	nigra	nigra	nigra	75	0.869227733	0.550124896
MP.2	nigra	nigra	nigra	71.42857143	0.651083929	0.40475832
MP.2	nigra	nigra	nigra	66.66666667	0.663251778	0.392734799
MP.5	nigra	nigra	nigra	33.33333333	0.756808046	0.586858951
MP.5	nigra	nigra	nigra	57.14285714	0.638867636	0.455233826
MP.6	nigra	nigra	nigra	85.71428571	0.474391805	0.424836601
MP.6	nigra	nigra	nigra	87.5	0.658177772	0.385266662
MP.8	nigra	nigra	nigra	71.42857143	0.712852093	0.524104972
MP.8	nigra	nigra	nigra	71.42857143	0.608657132	0.390658002
MP.10	nigra	BC2_nigra	nigra	22.22222222	0.781970898	0.597379123
MP.10	nigra	BC2_nigra	nigra	37.5	0.955257836	0.761895161
MP.14	nigra	nigra	nigra	55.55555556	0.5751205	0.397082773
MP.14	nigra	nigra	nigra	77.77777778	0.662562435	0.398797455
PR.20	jacea	nigra	nigra	0	0.866683373	0.654894906
PR.20	jacea	nigra	nigra	0	0.962534874	0.679516038
TH.10B	nigra	nigra	nigra	85.71428571	0.583913452	0.433661706
TH.10B	nigra	nigra	nigra	100	0.424270712	0.304089655
TH.11B	nigra	nigra	nigra	71.42857143	0.451208361	0.341709537
TH.11B	nigra	nigra	nigra	100	0.543802301	0.423609696
TH.14B	nigra	BC2_nigra	nigra	83.33333333	0.485207101	0.283641272
TH.14B	nigra	BC2_nigra	nigra	83.33333333	0.627573477	0.394079886
TH.15B	nigra	nigra	nigra	75	0.705050505	0.420211912
TH.15B	nigra	nigra	nigra	75	0.603367003	0.487221316
TH.16B	nigra	nigra	nigra	88.88888889	0.643031453	0.486861014
TH.17B	nigra	nigra	nigra	66.66666667	0.597139015	0.542124542
TH.17B	nigra	nigra	nigra	75	0.680998613	0.428514757
TH.20B	nigra	nigra	nigra	85.71428571	0.52901425	0.423547401
TH.6B	nigra	nigra	nigra	100	0.660622059	0.483534946
TH.6B	nigra	nigra	nigra	100	0.588448104	0.391452282
TH.8B	nigra	nigra	nigra	85.71428571	0.889842632	0.607105674
TH.8B	nigra	nigra	nigra	85.71428571	0.806762773	0.58954299
WV.7	nigra	nigra	nigra	77.77777778	0.691566892	0.500235338
WV.7	nigra	nigra	nigra	75	0.617747874	0.420025896
WV.9	nigra	nigra	BC2_nigra	77.77777778	0.62092082	0.438225317
WV.9	nigra	nigra	BC2_nigra	75	0.721267374	0.430201462
WV.10	nigra	nigra	nigra	77.77777778	0.414640455	0.321855235
WV.10	nigra	nigra	nigra	77.77777778	0.455988456	0.267771396
WV.11	nigra	nigra	nigra	80	0.525387263	0.463729586
WV.11	nigra	nigra	nigra	88.88888889	0.510902382	0.34014517
WV.20	nigra	nigra	nigra	88.88888889	0.782351107	0.554761203
WV.20	nigra	nigra	nigra	87.5	0.674151697	0.388525415
CB.3	hybrid1	BC2_jacea	F2	83.33333333	0.585101511	0.403134203
CB.3	hybrid1	BC2_jacea	F2	90	0.551243781	0.345601996
CB.5	hybrid1	F2	F2	66.66666667	0.447088068	0.36888368
CB.5	hybrid1	F2	F2	88.88888889	0.568418766	0.431349926
CB.6	hybrid1	BC2_jacea	F2	75	1.214975845	0.757322748
CB.6	hybrid1	BC2_jacea	F2	88.88888889	1.439676113	0.642495784
CB.7	hybrid1	BC2_jacea	F2	81.81818182	0.428197864	0.33699194
CB.7	hybrid1	BC2_jacea	F2	88.88888889	0.74950219	0.433490729
CB.8	hybrid1	BC1_jacea	BC1_jacea	90.90909091	0.364793213	0.353753489
CB.8	hybrid1	BC1_jacea	BC1_jacea	81.81818182	0.399657498	0.533200057
CB.9	hybrid1	BC2_jacea	F2	88.88888889	1.707738369	1.046872794
CB.9	hybrid1	BC2_jacea	F2	88.88888889	0.742209031	0.483964612
CB.10	hybrid1	BC2_jacea	F2	87.5	0.401646264	0.350912779
CB.11	hybrid1	jacea	F2	88.88888889	0.795156179	0.539465602
CB.11	hybrid1	jacea	F2	87.5	0.675509757	0.481180697
CB.12	hybrid1	BC2_jacea	BC1_jacea	85.71428571	0.672451193	0.47641002
CB.12	hybrid1	BC2_jacea	BC1_jacea	85.71428571	0.660289116	0.424839283
CB.13	hybrid1	F2	F2	88.88888889	0.632674772	0.461325355
CB.13	hybrid1	F2	F2	88.88888889	0.518507681	0.4150855
CB.14	hybrid1	F2	F2	87.5	0.360117068	0.441670746
CB.14	hybrid1	F2	F2	87.5	0.368381241	0.309206349
CB.15	hybrid1	BC2_jacea	F2	88.88888889	0.434012066	0.294524053
CB.15	hybrid1	BC2_jacea	F2	88.88888889	0.643751423	0.484080794
CB.16	hybrid1	BC2_jacea	F2	77.77777778	0.393969849	0.565983252
CB.16	hybrid1	BC2_jacea	F2	75	0.34430327	0.388895424
CB.17	hybrid1	F2	F2	87.5	0.208911935	0.308180993
CB.17	hybrid1	F2	F2	88.88888889	0.242432841	0.328884897
CB.18	hybrid1	BC1_jacea	F2	50	0.884944211	0.670509442
CB.18	hybrid1	BC1_jacea	F2	55.55555556	0.597920043	0.526084373
CB.19	hybrid1	BC2_jacea	F2	66.66666667	0.954633205	0.585034014
CB.19	hybrid1	BC2_jacea	F2	66.66666667	0.884893822	0.481486345
CB.20	hybrid1	BC2_jacea	F2	90.90909091	0.535625223	0.390215417
CB.20	hybrid1	BC2_jacea	F2	100	0.653214774	0.429857464
CO.1	hybrid1	jacea	F2	80	0.895668871	0.686059814
CO.1	hybrid1	jacea	F2	45.45454545	0.989808011	0.530285714
CO.2	hybrid1	BC1_jacea	BC1_jacea	77.77777778	0.576312776	0.395221001
CO.2	hybrid1	BC1_jacea	BC1_jacea	62.5	0.78187352	0.527612962
CO.3	hybrid1	BC2_jacea	F2	81.81818182	0.701754386	0.436681223
CO.3	hybrid1	BC2_jacea	F2	80	0.533687003	0.431296892
CO.4	hybrid1	jacea	BC2_jacea	77.77777778	0.670445599	0.404061492
CO.4	hybrid1	jacea	BC2_jacea	85.71428571	0.807554297	0.493308722
CO.5	hybrid1	jacea	F2	75	0.692023974	0.504198858
CO.5	hybrid1	jacea	F2	75	0.595467695	0.429042904
CO.6	hybrid1	BC2_jacea	BC1_jacea	75	0.823970037	0.522730873
CO.6	hybrid1	BC2_jacea	BC1_jacea	88.88888889	0.810749774	0.527863549
CO.7	hybrid1	BC2_jacea	F2	80	0.806254626	0.483627484
CO.7	hybrid1	BC2_jacea	F2	80	0.648753463	0.456174523
CO.8	hybrid1	jacea	F2	77.77777778	0.788824764	0.507082631
CO.8	hybrid1	jacea	F2	77.77777778	0.851358025	0.528024502
CO.9	hybrid1	BC2_jacea	F2	87.5	0.528280543	0.459118466
CO.9	hybrid1	BC2_jacea	F2	80	0.621748879	0.42104464
CO.11	hybrid1	BC1_jacea	BC1_jacea	90	0.713179874	0.505486572
CO.11	hybrid1	BC1_jacea	BC1_jacea	80	0.734633787	0.583540418
FL.1	hybrid1	BC2_jacea	F2	0	0.705559532	0.599310904
FL.1	hybrid1	BC2_jacea	F2	0	0.69882616	0.539577039
FL.2	hybrid1	jacea	F2	14.28571429	1.053754503	0.715993599
FL.2	hybrid1	jacea	F2	14.28571429	0.817653891	0.583868961
FL.4	hybrid1	BC2_jacea	F2	0	0.354889425	0.532850736
FL.4	hybrid1	BC2_jacea	F2	0	1.400808548	0.986878242
FL.5	hybrid1	jacea	F2	0	0.725543478	0.655751126
FL.5	hybrid1	jacea	F2	0	0.804688645	0.632500288
FL.6	hybrid1	BC2_jacea	F2	37.5	0.89895721	0.611197131
FL.6	hybrid1	BC2_jacea	F2	37.5	0.713064964	0.713873428
FL.8	hybrid1	BC2_jacea	F2	42.85714286	0.651173992	0.667160128
FL.9	hybrid1	jacea	F2	0	0.875850576	0.70706278
FL.9	hybrid1	jacea	F2	0	0.824193902	0.749850329
FP.1	hybrid1	jacea	F2	0	0.714002334	0.691178132
FP.1	hybrid1	jacea	F2	50	0.80113771	0.648503454
FP.2	hybrid1	jacea	F2	0	0.864423483	0.632859204
FP.2	hybrid1	jacea	F2	0	0.7341871	0.635012833
FP.3	hybrid1	BC2_jacea	F2	50	0.302654867	0.408803263
FP.3	hybrid1	BC2_jacea	F2	55.55555556	0.288517341	0.4078125
FP.4	hybrid1	jacea	F2	0	0.849993415	0.668323496
FP.4	hybrid1	jacea	F2	0	1.032352084	0.727235397
FP.6	hybrid1	jacea	F2	0	1.028038755	0.804942529
FP.6	hybrid1	jacea	F2	0	0.698776392	0.585427136
WR.2	jacea	jacea	jacea	100	0.81136149	0.673122131
WR.11	hybrid2	F2	F2	100	0.574882849	0.48543843
WR.17	hybrid2	BC2_jacea	F2	100	0.755852231	0.563232488
WR.3	hybrid2	F2	F2	100	0.748260058	0.725955204
WR.4	hybrid2	F2	F2	100	1.028651685	0.66646445
WR.R	hybrid2	BC2_jacea	F2	100	0.645085803	0.570869765
WR.X	hybrid2	F2	F2	100	0.863814556	0.437009571
WR.Z	hybrid2	F2	F2	77.77777778	0.887858208	0.648517846
SP.1	hybrid2	F2	F2	87.5	0.707239459	0.32136402
SP.14	hybrid2	BC2_jacea	F2	100	0.856525497	0.334542999
SP.18	hybrid2	F2	F2	100	0.702668628	0.40119976
SP.1B	hybrid2	F2	F2	57.14285714	0.775896414	0.472789804
SP.20	hybrid2	F2	F2	100	0.657479046	0.623128628
SP.3B	hybrid2	BC1_jacea	F2	100	0.744377267	0.419460343
SP.4	hybrid2	F2	F2	100	0.760717196	0.561950632
SP.4B	hybrid2	F2	BC2_nigra	100	0.69629233	0.526464933
SP.6B	hybrid2	F2	F2	80	0.803876853	0.544221438
SP.7B	hybrid2	F2	BC1_nigra	100	1.13458814	0.617741047
JV.1	hybrid1	BC2_jacea	F2	37.5	0.633296582	0.412999712
JV.11	hybrid1	jacea	F2	100	0.773167358	0.377894203
JV.12	hybrid1	jacea	BC1_jacea	22.22222222	0.900209644	0.39925616
JV.13	hybrid1	jacea	F2	77.77777778	0.803236005	0.471764063
JV.15	hybrid1	jacea	F2	27.27272727	1.088270859	0.521487204
JV.17	hybrid1	BC2_jacea	F2	40	0.749546828	0.583421517
JV.20	hybrid1	jacea	F2	28.57142857	0.679254189	0.406152978
JV.3	hybrid1	BC2_jacea	F2	50	0.877722323	0.402685262
JV.6	hybrid1	jacea	BC2_jacea	62.5	0.730518634	0.519074074
JV.9	hybrid1	jacea	F2	70	0.759553204	0.575757576
LH.1	hybrid1	BC1_jacea	F2	100	0.625729045	0.478526826
LH.10	hybrid1	BC2_jacea	F2	42.85714286	0.36119711	0.281718483
