pop	ind	jacea	nigra	F1	F2	BC1_jacea	BC1_nigra	BC2_jacea	BC2_nigra	HybClass_LDnigra
WR	WR.X	0	0	0	0.99994	6e-05	0	0	0	F2
WR	WR.Z	0	0	0	1	0	0	0	0	F2
WR	WR.Y	0	0	0	1	0	0	0	0	F2
WR	WR.4	0.0029	0	0	0.55734	0.26569	0	0.17408	0	F2
WR	WR.17	0	0	0	1	0	0	0	0	F2
WR	WR.21B	0	0	1e-05	0.97393	0	0.02606	0	1e-05	F2
WR	WR.R	1e-05	0	0	0.98703	0.01189	0	0.00107	0	F2
WR	WR.6B	0	0	0	0.99283	0	0.00688	0	0.00029	F2
WR	WR.2	0.64564	0	0	0	0.00122	0	0.35314	0	jacea
WR	WR.11	0	0	0	1	0	0	0	0	F2
WR	WR.3	0	0	0	1	0	0	0	0	F2
WR	WR.12	0	0	0	0.99946	0	0.00016	0	0.00037	F2
WR	WR.14	0	0	0	1	0	0	0	0	F2
WR	WR.18	0	0	0	0.13482	0	0.86274	0	0.00244	BC1_nigra
WR	WR.10	0	0	0	1	0	0	0	0	F2
SH	SH.1	0.99747	0	0	0	0	0	0.00253	0	jacea
SH	SH.15	0.99864	0	0	0	0	0	0.00136	0	jacea
SH	SH.21	0.99894	0	0	0	0	0	0.00106	0	jacea
SH	SH.6	0	0	0	0.99995	0	5e-05	0	0	F2
SH	SH.9	0.5915	0	0	0	0.00102	0	0.40748	0	jacea
SH	SH.14	0.04482	0	0	0	0.08062	0	0.87456	0	BC2_jacea
SH	SH.10	0.99997	0	0	0	0	0	3e-05	0	jacea
SH	SH.26	0.17433	0	0	1e-05	0.00298	0	0.82268	0	BC2_jacea
SH	SH.18	0.99997	0	0	0	0	0	3e-05	0	jacea
SH	SH.19	0.85736	0	0	0	0.00023	0	0.14241	0	jacea
SH	SH.4	0.0988	0	0	0	0.05338	0	0.84782	0	BC2_jacea
SH	SH.7	0.9949	0	0	0	0	0	0.0051	0	jacea
SH	SH.25	0.48655	0	0	0	0.0041	0	0.50935	0	BC2_jacea
SH	SH.5	0.17612	0	0	0	0.00841	0	0.81546	0	BC2_jacea
SH	SH.2	0.81843	0	0	0	0.00012	0	0.18144	0	jacea
RM	RM.10	0.97559	0	0	0	0	0	0.02441	0	jacea
RM	RM.5	0.98917	0	0	0	0	0	0.01083	0	jacea
RM	RM.1	0.90662	0	0	0	4e-05	0	0.09334	0	jacea
RM	RM.11	0.40011	0	0	0	0.00096	0	0.59892	0	BC2_jacea
RM	RM.2	0.00135	0	0	0.58503	0.16047	0	0.25315	0	F2
RM	RM.6B	0.21204	0	0	0.00056	0.04843	0	0.73897	0	BC2_jacea
RM	RM.54	1	0	0	0	0	0	0	0	jacea
RM	RM.15	0.99686	0	0	0	0	0	0.00314	0	jacea
RM	RM.51	0.54705	0	0	1e-05	0.00352	0	0.44942	0	jacea
RM	RM.3	0.99974	0	0	0	0	0	0.00026	0	jacea
RM	RM.52	0.02731	0	0	0	0.06726	0	0.90543	0	BC2_jacea
RM	RM.56	0.17995	0	0	0	0.01137	0	0.80868	0	BC2_jacea
RM	RM.4	0.50416	0	0	0	0.00231	0	0.49353	0	jacea
FC	FC.6	1	0	0	0	0	0	0	0	jacea
FC	FC.21	0.00414	0	0	0.00942	0.29985	0	0.68659	0	BC2_jacea
FC	FC.3	0.06031	0	0	1e-05	0.03627	0	0.90341	0	BC2_jacea
FC	FC.20	0.95467	0	0	0	3e-05	0	0.0453	0	jacea
FC	FC.19	0.00259	0	0	0.00041	0.62596	0	0.37104	0	BC1_jacea
FC	FC.10	0.99945	0	0	0	0	0	0.00055	0	jacea
FC	FC.9	0.87122	0	0	0	0.00051	0	0.12827	0	jacea
FC	FC.1	0	0	0	0.9717	0.0099	0	0.0184	0	F2
FC	FC.15	0.99998	0	0	0	0	0	2e-05	0	jacea
FC	FC.25	0.74589	0	0	1e-05	0.00266	0	0.25144	0	jacea
FC	FC.24	0.19299	0	0	0.0025	0.02582	0	0.77869	0	BC2_jacea
FC	FC.11	0.99873	0	0	0	0	0	0.00127	0	jacea
FC	FC.22	0.9487	0	0	0	1e-05	0	0.0513	0	jacea
FC	FC.5	0.98053	0	0	0	0	0	0.01947	0	jacea
FC	FC.14	8e-05	0	0	0	0.39614	0	0.60378	0	BC2_jacea
FC	FC.8	0.84065	0	0	0	0.00014	0	0.15921	0	jacea
MC	MC.5	0	0	0	0.99887	0.00111	0	3e-05	0	F2
MC	MC.3	0.00035	0	0	0.90538	0.03225	0	0.06202	0	F2
MC	MC.11	0	0	0	0.99797	0.00203	0	0	0	F2
MC	MC.2	0	0	0	1	0	0	0	0	F2
MC	MC.14	0	0	0	0.18499	0.80282	0	0.01219	0	BC1_jacea
MC	MC.18	0	0	0	0.99996	0	4e-05	0	0	F2
MC	MC.8	0	0	0	0.99906	0.00093	0	1e-05	0	F2
MC	MC.10	0	0	0	0.99997	3e-05	0	0	0	F2
MC	MC.16	0	0	0	0.99999	1e-05	0	0	0	F2
MC	MC.12	0	0	0	0.99999	1e-05	0	0	0	F2
MC	MC.1	0	0	0	0.46065	0.52458	0	0.01477	0	BC1_jacea
MC	MC.7	0.03131	0	0	0.03555	0.39747	0	0.53568	0	BC2_jacea
MC	MC.20	0	0	0	0.99972	0.00028	0	0	0	F2
MC	MC.19	0	0	0	0.99989	0.00011	0	0	0	F2
MC	MC.6	1e-05	0	0	0.84514	0.12482	0	0.03003	0	F2
MC	MC.13	0	0	0	0.99986	0.00014	0	0	0	F2
MP	MP.16	0	0	0	0.99972	0	5e-05	0	0.00022	F2
MP	MP.18	0	0	0	0.97449	0	0.00386	0	0.02165	F2
MP	MP.19	0	0.07174	0	0.00044	0	0.00056	0	0.92726	BC2_nigra
MP	MP.7	0	0	0	0.21937	0	0.01434	0	0.76629	BC2_nigra
MP	MP.14	0	0.9705	0	0	0	0	0	0.0295	nigra
MP	MP.11	0	9e-05	0	4e-05	0	0.00479	0	0.99509	BC2_nigra
MP	MP.6	0	1	0	0	0	0	0	0	nigra
MP	MP.15	0.00013	0	0	0.12416	0.62167	0	0.25403	0	BC1_jacea
MP	MP.3	0	0.00117	0	3e-05	0	0.00361	0	0.99519	BC2_nigra
MP	MP.8	0	0.99991	0	0	0	0	0	9e-05	nigra
MP	MP.17	0	0	0	0.93353	0	0.06644	0	3e-05	F2
