pop	ind	taxon
CB	CB_10	hybridNY
CB	CB_11	hybridNY
CB	CB_12	hybridNY
CB	CB_13	hybridNY
CB	CB_14	hybridNY
CB	CB_15	hybridNY
CB	CB_16	hybridNY
CB	CB_17	hybridNY
CB	CB_18	hybridNY
CB	CB_19	hybridNY
CB	CB_20	hybridNY
CB	CB_3	hybridNY
CB	CB_5	hybridNY
CB	CB_6	hybridNY
CB	CB_7	hybridNY
CB	CB_8	hybridNY
CB	CB_9	hybridNY
CH	CH_1	jacea
CH	CH_10	jacea
CH	CH_11	jacea
CH	CH_12	jacea
LH	LH_12	hybridNY
CH	CH_13	jacea
CH	CH_15	jacea
CH	CH_16	jacea
CH	CH_17	jacea
CH	CH_17B	jacea
CH	CH_3	jacea
CH	CH_4	jacea
CH	CH_6	jacea
CH	CH_7	jacea
CO	CO_1	hybridNY
CO	CO_10	hybridNY
CO	CO_11	hybridNY
CO	CO_12	hybridNY
CO	CO_13	hybridNY
CO	CO_14	hybridNY
CO	CO_15	hybridNY
CO	CO_16	hybridNY
CO	CO_17	hybridNY
CO	CO_18	hybridNY
CO	CO_19	hybridNY
CO	CO_2	hybridNY
CO	CO_20	hybridNY
CO	CO_3	hybridNY
CO	CO_4	hybridNY
CO	CO_5	hybridNY
CO	CO_6	hybridNY
CO	CO_7	hybridNY
CO	CO_8	hybridNY
CO	CO_9	hybridNY
DF	DF_1	jacea
DF	DF_10	jacea
DF	DF_11	jacea
DF	DF_14	jacea
DF	DF_16	jacea
DF	DF_2	jacea
DF	DF_23	jacea
DF	DF_25	jacea
DF	DF_27	jacea
DF	DF_29	jacea
DF	DF_30	jacea
DF	DF_31	jacea
DF	DF_7	jacea
FC	FC_1	jacea
FC	FC_10	jacea
FC	FC_11	jacea
FC	FC_14	jacea
FC	FC_15	jacea
FC	FC_19	jacea
FC	FC_20	jacea
FC	FC_21	jacea
FC	FC_22	jacea
FC	FC_24	jacea
FC	FC_25	jacea
FC	FC_3	jacea
FC	FC_5	jacea
FC	FC_6	jacea
FC	FC_8	jacea
FC	FC_9	jacea
FL	FL_1	hybridNY
FL	FL_12	hybridNY
FL	FL_13	hybridNY
FL	FL_14	hybridNY
FL	FL_15	hybridNY
FL	FL_16	hybridNY
FL	FL_17	hybridNY
FL	FL_19	hybridNY
FL	FL_2	hybridNY
FL	FL_20	hybridNY
FL	FL_4	hybridNY
FL	FL_5	hybridNY
FL	FL_6	hybridNY
FL	FL_8	hybridNY
FL	FL_9	hybridNY
FP	FP_1	hybridNY
FP	FP_11	hybridNY
FP	FP_14	hybridNY
FP	FP_17	hybridNY
FP	FP_2	hybridNY
FP	FP_3	hybridNY
FP	FP_4	hybridNY
FP	FP_6	hybridNY
HV	HV_1	jacea
HV	HV_11	jacea
HV	HV_12	jacea
HV	HV_13	jacea
HV	HV_15	jacea
HV	HV_16	jacea
HV	HV_18	jacea
HV	HV_2	jacea
HV	HV_20	jacea
HV	HV_21	jacea
HV	HV_3	jacea
HV	HV_4	jacea
HV	HV_5	jacea
HV	HV_8	jacea
HV	HV_9	jacea
JF	JF_01	nigra
JF	JF_08	nigra
JF	JF_11	nigra
JF	JF_21	nigra
JV	JV_1	hybridNY
JV	JV_10	hybridNY
JV	JV_11	hybridNY
JV	JV_12	hybridNY
JV	JV_13	hybridNY
JV	JV_15	hybridNY
JV	JV_16	hybridNY
JV	JV_17	hybridNY
JV	JV_18	hybridNY
JV	JV_2	hybridNY
JV	JV_20	hybridNY
JV	JV_3	hybridNY
JV	JV_4	hybridNY
JV	JV_5	hybridNY
JV	JV_6	hybridNY
JV	JV_7	hybridNY
JV	JV_9	hybridNY
LH	LH_1	hybridNY
LH	LH_10	hybridNY
LH	LH_13	hybridNY
LH	LH_14	hybridNY
LH	LH_18	hybridNY
LH	LH_19	hybridNY
LH	LH_3	hybridNY
LH	LH_4	hybridNY
LH	LH_5	hybridNY
MC	MC_1	hybridNY
MC	MC_10	hybridNY
MC	MC_11	hybridNY
MC	MC_12	hybridNY
MC	MC_13	hybridNY
MC	MC_14	hybridNY
MC	MC_16	hybridNY
MC	MC_18	hybridNY
MC	MC_19	hybridNY
MC	MC_2	hybridNY
MC	MC_20	hybridNY
MC	MC_3	hybridNY
MC	MC_5	hybridNY
MC	MC_6	hybridNY
MC	MC_7	hybridNY
MC	MC_8	hybridNY
MP	MP_1	hybridNY
MP	MP_10	hybridNY
MP	MP_11	hybridNY
MP	MP_13	hybridNY
MP	MP_14	hybridNY
MP	MP_15	hybridNY
MP	MP_16	hybridNY
MP	MP_17	hybridNY
MP	MP_18	hybridNY
MP	MP_19	hybridNY
MP	MP_2	hybridNY
MP	MP_3	hybridNY
MP	MP_5	hybridNY
MP	MP_6	hybridNY
MP	MP_7	hybridNY
MP	MP_8	hybridNY
MP	MP_9	hybridNY
PR	PR_10	jacea
PR	PR_11	jacea
PR	PR_12	jacea
PR	PR_14	jacea
PR	PR_15	jacea
PR	PR_16	jacea
PR	PR_18	jacea
PR	PR_20	jacea
PR	PR_21	jacea
PR	PR_22	jacea
PR	PR_3	jacea
PR	PR_4	jacea
PR	PR_6	jacea
PR	PR_7	jacea
RM	RM_1	jacea
RM	RM_10	jacea
RM	RM_11	jacea
RM	RM_15	jacea
RM	RM_2	jacea
RM	RM_3	jacea
RM	RM_4	jacea
RM	RM_5	jacea
RM	RM_51	jacea
RM	RM_52	jacea
RM	RM_54	jacea
RM	RM_56	jacea
RM	RM_6B	jacea
SH	SH_1	jacea
SH	SH_10	jacea
SH	SH_14	jacea
SH	SH_15	jacea
SH	SH_18	jacea
SH	SH_19	jacea
SH	SH_2	jacea
SH	SH_21	jacea
SH	SH_25	jacea
SH	SH_26	jacea
SH	SH_4	jacea
SH	SH_5	jacea
SH	SH_6	jacea
SH	SH_7	jacea
SH	SH_9	jacea
SP	SP_1	hybridVT
SP	SP_14	hybridVT
SP	SP_18	hybridVT
SP	SP_1B	hybridVT
SP	SP_20	hybridVT
SP	SP_3	hybridVT
SP	SP_3B	hybridVT
SP	SP_4	hybridVT
SP	SP_4B	hybridVT
SP	SP_6B	hybridVT
SP	SP_7B	hybridVT
TH	TH_10B	nigra
TH	TH_11B	nigra
TH	TH_13B	nigra
TH	TH_14B	nigra
TH	TH_15B	nigra
TH	TH_16B	nigra
TH	TH_17B	nigra
TH	TH_19B	nigra
TH	TH_1B	nigra
TH	TH_20B	nigra
TH	TH_21B	nigra
TH	TH_5B	nigra
TH	TH_6B	nigra
TH	TH_8B	nigra
WR	WR_10	hybridVT
WR	WR_11	hybridVT
WR	WR_12	hybridVT
WR	WR_14	hybridVT
WR	WR_17	hybridVT
WR	WR_18	hybridVT
WR	WR_2	hybridVT
WR	WR_21B	hybridVT
WR	WR_3	hybridVT
WR	WR_4	hybridVT
WR	WR_6B	hybridVT
WR	WR_R	hybridVT
WR	WR_X	hybridVT
WR	WR_Y	hybridVT
WR	WR_Z	hybridVT
WV	WV_10	nigra
WV	WV_11	nigra
WV	WV_12	nigra
WV	WV_13	nigra
WV	WV_14	nigra
WV	WV_2	nigra
WV	WV_20	nigra
WV	WV_4	nigra
WV	WV_7	nigra
WV	WV_9	nigra
